KIC,a_fdnu,a_uncorr_mass,a_corr_mass,a_corr_mass_e,a_gfdnu,a_gcorr_mass,g_fdnu,g_uncorr_mass,g_corr_mass,g_corr_mass_e,g_gfdnu,g_gcorr_mass,gs_fdnu,gs_uncorr_mass,gs_corr_mass,gs_corr_mass_e,gs_gfdnu,gs_gcorr_mass,L_fdnu,L_uncorr_mass,L_corr_mass,L_corr_mass_e,L_gfdnu,L_gcorr_mass
3347458,1.0253611716126918,4.375683625232743,4.836747143992985,0.664407726749796,1.0253611694222675,4.836747102663048,,,,,,,1.0112848593327801,4.142951588218297,4.333151555251974,0.5848030758417022,1.0112848589976688,4.333151549508436,,,,,,
8378545,1.028940192154153,4.283602373365284,4.80141978662573,1.205645727806659,1.028936466745761,4.801350250407555,,,,,,,1.0177676530278073,4.100935677979133,4.400251838998058,1.0993191289879742,1.017767682927639,4.400252356077944,1.0361334377003484,4.348550677096975,5.011956498639214,1.2525026964314472,1.0361333552525958,5.011954903383288
5978324,1.0279836406017422,4.167456232262485,4.6538872858142675,0.2814890871026239,1.0279835807184046,4.653886201399037,,,,,,,1.0376136908802895,4.313092300295905,4.999557020876216,0.27293983005571476,1.0376134752217374,4.9995528644280025,,,,,,
10068490,1.0324527978862568,3.8777136333401008,4.406122381478225,1.1356181277659636,1.0324527724287582,4.406121946905915,1.0193227587180447,4.462189520030915,4.817202417639686,1.2335508842505247,1.019322666996192,4.817200683772106,1.0370947269672453,3.991748573252242,4.617818754805075,1.1860769577614716,1.0370955248415756,4.617832965438696,1.0341893677165996,3.9075131972920585,4.469930058818467,1.1455885587245933,1.0341894104448799,4.469930797532062
4756133,1.0383058667146328,4.283161298017522,4.978123438561035,0.4443091262506326,1.038305319077893,4.9781129360637655,,,,,,,1.0204428711067943,4.028079184679162,4.367699825958561,0.3719710971144029,1.0204431507662115,4.367704613953752,,,,,,
7175316,,,,,,,1.0150400353969897,3.70191384626508,3.9296963705474752,0.7986394372323748,1.0150400465670928,3.9296965435263256,1.0027829118674982,3.5180514175027655,3.5573769045400176,0.7230028440260756,1.002782922215352,3.55737705137625,,,,,,
7024018,1.0289368176678158,3.646257620176349,4.086976870161747,0.47993043222790877,1.0289348201009223,4.08694513260206,1.0143278695877331,3.485912583341759,3.69003023971673,0.4214391370129675,1.0143281720337054,3.690034640799714,1.0253622640752884,3.555029579310372,3.9296379531746113,0.4508783385943662,1.0253619828527396,3.9296336421037448,1.0301621364194256,3.6595758888680963,4.121478996807908,0.4711780113141323,1.0301621560598386,4.1214793111178585
6547176,1.0228385386958092,3.5930031174703836,3.9326557030880473,0.4748432302695582,1.022838531908251,3.932655598699607,0.8647308945034764,5.375782525796295,3.0058381552646924,0.356993100890789,0.8647308945034764,3.0058381552646924,1.0252448356546264,4.093129393425214,4.52236733237345,0.5507913762150348,1.0252448356546264,4.52236733237345,,,,,,
8621290,1.0143820985185776,3.355023496250999,3.552236490674088,0.3652091631905134,1.0143820710135054,3.5522361053971094,1.007817796527123,3.2837516195512744,3.38764889270968,0.33666326810403563,1.0078178753596454,3.387649952651028,1.000232231351057,3.1922750174792114,3.1952414359833408,0.31765714175534837,1.0002323119224983,3.1952424655252036,,,,,,
10384595,0.9878335668366882,1.8807587339926817,1.7908870883250347,0.06912613864147328,0.9878334487829138,1.790886232225588,,,,,,,0.9794280863597195,1.805806582406181,1.661733774792228,0.05067952657669422,0.9794281132089445,1.6617339570057723,0.9816826134837109,1.8403172679733077,1.7091378750777446,0.0683315112462115,0.9816826138593153,1.7091378776934971
6599955,,,,,,,1.006899100048235,3.491662194147758,3.589021263735894,0.17010529894890702,1.0068993343610566,3.589024604503572,1.0268270779258697,3.681333504971441,4.092553960550384,0.19724152235574732,1.026827309768565,4.092557656709486,1.03601202315418,3.9144360420418605,4.509499920647911,0.21642692812259526,1.036012018479602,4.509499839258856
3955502,1.0228032074078794,3.7066850211621163,4.0565236105130635,0.555772313728685,1.0228030296440644,4.05652079040879,,,,,,,1.013809925760255,3.55253890235631,3.7528827660098694,0.5032763981201672,1.0138099289908138,3.752882813844903,1.0180594787724804,3.6325962874036324,3.9022019537663755,0.5305337751480094,1.0180594812431711,3.9022019916468125
8037930,,,,,,,0.9932209577258195,3.1026117492387795,3.0193324355323297,0.21224196269751716,0.9932209577258195,3.0193324355323297,,,,,,,,,,,,
8569885,1.0270952348668374,3.4738979673075314,3.865982785969632,0.27921914710493845,1.0270948058217606,3.8659763262771465,1.0120053194899605,3.301026431267511,3.4624234707041253,0.2310764425581869,1.0120053330367298,3.462423656097033,1.0071621375279727,3.2406858456055034,3.3345289768539974,0.22263576542457117,1.0071621679854532,3.3345293802105247,1.0275388073675737,3.467902171470888,3.8659814835521864,0.2592587259042953,1.0275388089465782,3.865981507315385
3747623,,,,,,,1.012741382013232,0.7746494535624314,0.8148908544378789,0.1169255172126766,1.0147129534557284,0.8212550189398139,,,,,,,1.00859139535712,0.684347148435882,0.708169954225649,0.10157485753019764,1.0085913529974329,0.708169835256338
6529078,,,,,,,0.9634353557509144,1.025626102798356,0.8836481746839197,0.09141018171852555,0.9634353567499627,0.8836481783491673,,,,,,,,,,,,
11518639,,,,,,,0.9950281352440068,3.0553077391992174,2.9949970845495484,0.42313865901688635,0.9950281593515595,2.9949973748008487,,,,,,,,,,,,
7988900,1.0156133309697095,3.288295507468207,3.4985203974991346,0.5592291993265712,1.0156132826299016,3.4985197314275616,,,,,,,0.9946301198689312,3.0300540720462728,2.965492329988086,0.4671115035472897,0.9946301325828717,2.965492481614677,,,,,,
